Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count
074-799-923-867-281,Mechanical and thermal management design of a motor for an aircraft wheel actuator,,2014,conference proceedings,2014 17th International Conference on Electrical Machines and Systems (ICEMS),,IEEE,,Zeyuan Xu; Michael Galea; C. Tighe; Tahar Hamiti; Chris Gerada; Stephen Pickering,"A permanent magnet motor is designed as an actuator for taxiing large aircraft in an airport. The motor is attached to the main aircraft wheel to provide a direct drive. A special topology for this machine is developed selected and designed. Due to a high torque of this machine and requirement for low mass, thermal management of the machine is one of the main challenges. The machine is air cooled with an optimized the fin array to cool the machine. Computational Fluid Dynamics (CFD) is applied to get detailed thermal performance of the machine at the design stage to improve the cooling of machine. Initial thermal tests are done and the results used to validate the motor design are predicted for the whole duty cycle of the aircraft taxiing operation using CFD and Finite Element Analysis (FEA).",,,3268,3273,Thermal management of electronic devices and systems; Engineering; Finite element method; Torque; Computational fluid dynamics; Automotive engineering; Actuator; Duty cycle; Thermal; Mechanical engineering; Fin,,,,,http://ieeexplore.ieee.org/iel7/6996095/7012992/07014056.pdf http://ieeexplore.ieee.org/iel7/6996095/7012992/07014056.pdf?arnumber=7014056 07014056.pdf,http://dx.doi.org/10.1109/icems.2014.7014056,,10.1109/icems.2014.7014056,2000043564,,0,018-655-952-087-694; 041-947-099-296-701; 052-018-870-635-213; 063-442-647-844-815; 160-400-835-667-183,5
075-623-485-553-633,Optimal Design of a Novel Knee Orthosis using a Genetic Algorism,2011-10-01,2011,journal article,"Journal of Institute of Control, Robotics and Systems",19765622,"Institute of Control, Robotics and Systems",South Korea,Sanghun Pyo; Jungwon Yoon,"The objective of this paper is to optimize the design parameters of a novel mechanism for a robotic knee orthosis. The feature of the proposed knee othosis is to drive a knee joint with independent actuation during swing and stance phases, which can allow an actuator with fast rotation to control swing motions and an actuator with high torque to control stance motions, respectively. The quadriceps device operates in five-bar links with 2-DOF motions during swing phase and is changed to six-bar links during stance phase by the contact motion to the patella device. The hamstring device operates in a slider-crank mechanism for entire gait cycle. The suggested kinematic model will allow a robotic knee orthosis to use compact and light actuators with full support during walking. However, the proposed orthosis must use additional linkages than a simple four-bar mechanism. To maximize the benefit of reducing the actuators power by using the developed kinematic design, it is necessary to minimize total weight of the device, while keeping necessary actuator performances of torques and angular velocities for support. In this paper, we use a SGA (Simple Genetic Algorithm) to minimize sum of total link lengths and motor power by reducing the weight of the novel knee orthosis. To find feasible parameters, kinematic constraints of the hamstring and quadriceps mechanisms have been applied to the algorithm. The proposed optimization scheme could reduce sum of total link lengths to half of the initial value. The proposed optimization scheme can be applied to reduce total weight of general multi-linkages while keeping necessary actuator specifications.",17,10,1021,1028,Engineering; Torque; Exoskeleton; Actuator; Optimal design; Hamstring; Knee Joint; Kinematics; Simulation; Control theory; Swing,,,,,http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=JOJDCV_2011_v17n10_1021,http://dx.doi.org/10.5302/j.icros.2011.17.10.1021,,10.5302/j.icros.2011.17.10.1021,2088785162,,0,014-565-746-961-673; 023-360-950-534-182; 046-225-927-808-029; 048-830-113-682-517; 069-669-602-933-675; 081-903-032-858-93X; 088-951-821-089-329; 093-905-311-119-886; 119-274-818-086-853; 123-785-980-359-150,0
075-691-768-392-483,Experimental Estimation of Friction and Friction Coefficient of a Lightweight Hydraulic Cylinder Intended for Robotics Applications,2018-10-22,2018,journal article,International Journal of Applied Mechanics,17588251; 1758826x,World Scientific,United States,Mohamad El Asswad; Samer Alfayad; Khaled D. Khalil,"Recently, hydraulic actuator has been used in several engineering applications such as: aeronautics, construction and robotics. This is due to the need of high torque and power density in such engi...",10,08,1850080,,Artificial intelligence; Materials science; Power density; High torque; Friction coefficient; Dynamic equation; Robotics; Hydraulic cylinder; Mechanical engineering,,,,,https://ui.adsabs.harvard.edu/abs/2018IJAM...1050080E/abstract https://www.worldscientific.com/doi/10.1142/S1758825118500801,https://ui.adsabs.harvard.edu/abs/2018IJAM...1050080E/abstract,,,2889828231,,0,000-759-148-023-430; 032-055-983-231-36X; 039-642-650-340-956; 092-259-317-305-807; 095-146-265-106-838; 097-268-350-283-36X; 105-850-310-911-204; 106-425-985-477-687; 117-406-656-737-076; 137-798-821-307-565; 158-325-798-508-159,1
075-713-416-358-50X,The Optimization Design of Short-Term High-Overload Permanent Magnet Motors Considering the Nonlinear Saturation,2018-11-23,2018,journal article,Energies,19961073,MDPI AG,Switzerland,Yu-Xi Liu; Liyi Li; Ji-Wei Cao; Qin-He Gao; Zhi-Yin Sun; Jiang-Peng Zhang,"Electric actuators with fast dynamic response and high torque density are widely used in aerospace and industrial applications. In this paper, the design and optimization of a short-term high-overload permanent magnet synchronous motor (STHO-PMSM) is presented. The rated working point is optimized according to the operating conditions of the motor. The effect of electromagnetic load on the extreme torque which mainly include ampoule number and the magnetic energy of the PM is researched. Due to the nonlinear saturation influence, the equivalent magnetic network model is established. The saturation torque discount factor is proposed to quantify the degree of the core magnetic saturation. Winding temperature model is presented to inspect the motor reliability. To verify the feasibility and accuracy of mathematical model analysis (MMA), the performance of the motor in different currents is investigated compared to the finite element analysis (FEA). A prototype motor is manufactured and tested. The results of the MMA, FEA, and experiment show that the designed motor can achieve the high performance with the 10 times overload in a short time. The method of the MMA can relatively accurately predict as well as take less time consumption.",11,12,3272,,Network model; Finite element method; Saturation (chemistry); Torque; Magnetic energy; Magnet; Actuator; Saturation (magnetic); Computer science; Control theory,,,,,https://ideas.repec.org/a/gam/jeners/v11y2018i12p3272-d185157.html,http://dx.doi.org/10.3390/en11123272,,10.3390/en11123272,2901292942,,0,003-273-487-302-003; 004-193-346-170-816; 008-496-038-827-437; 011-221-821-132-253; 019-234-590-313-842; 019-920-499-138-801; 027-323-685-628-972; 033-775-582-467-023; 034-615-685-968-49X; 040-067-680-240-806; 040-987-999-907-846; 050-880-908-280-316; 052-633-374-138-108; 053-574-530-216-294; 055-440-964-179-194; 055-457-172-883-838; 056-498-659-584-909; 058-186-710-075-406; 058-195-025-406-283; 063-934-271-365-461; 064-802-505-757-751; 069-032-967-525-940; 070-983-493-439-109; 080-925-754-648-839; 086-008-657-823-754; 088-664-753-009-427; 089-105-664-737-399; 089-182-574-079-838; 091-914-175-254-283; 098-236-465-412-432; 099-252-652-972-829; 112-472-433-625-88X; 117-373-690-537-491; 118-136-779-986-039; 139-063-091-293-16X; 164-093-966-235-098; 177-442-413-847-072; 184-814-047-805-822,3
075-766-659-358-925,Project “ISO”: innovative solutions for Italian Navy's onboard full-electric actuators,,2012,conference proceedings,"2012 Electrical Systems for Aircraft, Railway and Ship Propulsion",,IEEE,,T. Mazzuca; Claudio Bruzzese,"In 2005, the Italian Navy decided to investigate on potential benefits of using full-electric actuators in substitution of conventional hydraulic motors for equipments on board ship such as rudders, fins, winches, etc. The new actuators had to guarantee the required dynamic performances, i.e. very high torques/forces at very low speeds, besides high affordability and redundancy. For this purpose, in 2006 the Italian Navy committed a research project to the University of Rome-Sapienza, aimed to define innovative solutions and their convenience. This paper shows both scopes and development of the research activity which consisted of a) data collection of existing onboard oil-powered plants, b) study of operating cycles, efficiencies, maintenance burden, and possible improvements, c) design of suitable full-electric alternatives, d) detailed design of a high-thrust permanent-magnet linear actuator for direct-drive of rudder and fin steering gears. The proposed actuator will be verified by tests on a reduced-scale laboratory prototype in the final steps of the research program.",,,1,6,Winch; Engineering; Torque; Linear actuator; Redundancy (engineering); Automotive engineering; Actuator; Rudder; Marine engineering; Navy; Hydraulic motor,,,,,http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ieee-000006387446,http://dx.doi.org/10.1109/esars.2012.6387446,,10.1109/esars.2012.6387446,2071231052,,0,002-826-083-320-337; 060-910-332-768-163; 071-445-481-705-850,10
076-613-668-202-817,An Analytical Mechatronic Model for Series DC Motors Using Manufacturer Test Data,2009-01-01,2009,conference proceedings article,"ASME 2009 Dynamic Systems and Control Conference, Volume 1",,ASMEDC,,Clark J. Radcliffe,"Direct Current (DC) Motors are one of the most common mechatronic actuators. They are important for electromechanical servo systems, drivers for battery powered appliances and tools as well as electric vehicles. Both brushless DC motors and wound DC motors are common in electric and hybrid vehicles. The series wound DC motor is commonly used for high torque vehicle applications. The literature has many papers discussing permanent magnet DC motors but a very limited number of publications on analytical models for series wound DC motors, especially motor models that fit series wound DC motor test data available in the market place. An analytical model for a series wound DC motor is developed here based on physical principles including energy conservation. The model developed will be compared with models developed by other investigators. Available commercial test data for a series motor will be used to find model parameters for the analytical model and the accuracy of this model evaluated against the original test data. The model developed displays excellent accuracy well within the accuracy of the test data available. Typical model rms deviation from test data is under 2% for the commercial series wound DC motors evaluated.Copyright © 2009 by ASME",,,223,227,Engineering; Control engineering; Traction motor; Torque; Test data; Actuator; Mechatronics; Brushed DC electric motor; Servomechanism; DC motor,,,,,https://asmedigitalcollection.asme.org/DSCC/proceedings/DSCC2009/48920/223/346390 https://nuclearengineering.asmedigitalcollection.asme.org/DSCC/proceedings/DSCC2009/48920/223/346390 https://manufacturingscience.asmedigitalcollection.asme.org/DSCC/proceedings/DSCC2009/48920/223/346390 http://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=1648158 https://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=1648158,http://dx.doi.org/10.1115/dscc2009-2549,,10.1115/dscc2009-2549,2085636337,,0,,2
076-706-720-892-417,Humanoids - Development of a fast torque-controlled hydraulic humanoid robot that can balance compliantly,,2015,conference proceedings,2015 IEEE-RAS 15th International Conference on Humanoid Robots (Humanoids),,IEEE,,Sang-Ho Hyon; Daisuke Suewaka; Yuki Torii; Narifumi Oku; Hiroki Ishida,"This paper reports on development of a fast torque-controlled hydraulic humanoid robot Tae-Mu. We present details on the hardware including the actuation, mechanical design, control and sensing systems. The robot has 13 active joints which are all driven by hydraulic servo cylinders with an external hydraulic power supply. The robot is installed with a three-axis active torso, which are utilized for static and dynamic balancing. The height is 141 cm, and the weight is 72.3 kg including a dummy weight stands for the arms. The lightweight design with carbon-fiber-reinforced plastic allowed the legs have the similar mass distribution to human legs. We present experimental results including basic torque control, balancing against external push, balanced squat motions and compliant balancing on a moving platform. The attached experimental video and graphs demonstrates that the fabricated robot has a high potential as a research platform for human sensory-motor control because of its compliance, high torque, speed, range of motion, safety and durability.",,,576,581,Servo; Hydraulic machinery; Torque; Squat; Computer science; Simulation; Torso; Humanoid robot; Control theory; Robot control; Robot,,,,,http://ieeexplore.ieee.org/document/7363420/ https://ieeexplore.ieee.org/document/7363420/ https://dblp.uni-trier.de/db/conf/humanoids/humanoids2015.html#HyonSTOI15,http://dx.doi.org/10.1109/humanoids.2015.7363420,,10.1109/humanoids.2015.7363420,2214645594,,0,011-306-489-303-390; 014-208-832-442-866; 018-173-604-996-929; 034-378-393-711-223; 035-107-063-044-722; 047-617-291-985-87X; 071-145-755-314-722; 073-697-122-511-716; 085-100-277-351-762; 102-390-687-388-86X; 117-406-656-737-076; 120-200-534-232-875; 140-479-287-853-258; 151-854-152-486-690,11
076-804-776-992-782,Compliant actuation of parallel-type variable stiffness actuator based on antagonistic actuation †,2010-12-22,2010,journal article,Journal of Mechanical Science and Technology,1738494x; 19763824,Springer Science and Business Media LLC,South Korea,Ki Hoon Nam; Byeong-Sang Kim; Jae-Bok Song,"For a service robot requiring physical human-robot interaction, stable contact motion and collision safety are very important. To accomplish these functions, we propose a novel design for a parallel-type variable stiffness actuator (PVSA). The stiffness and position of a joint can be controlled simultaneously using the PVSA based on an antagonistic actuation inspired by the musculoskeletal system. The PVSA consists of a dual-cam follower mechanism, which acts like a human muscle, and a drive module with two motors. Each cam placed inside the dual cam-follower mechanism has two types of cam profile to provide a wide range of stiffness variation and collision safety. The use of the PVSA enables position and stiffness control to occur simultaneously. Furthermore, joint stiffness instantly decreases when the PVSA is subject to a high torque exceeding a pre-determined value, thereby improving collision safety. Experiments showed that the PVSA provides effective levels of variable stiffness and collision safety.",24,11,2315,2321,Collision; Engineering; Torque; Artificial intelligence; Actuator; Service robot; Stiffness; Joint stiffness; Robotics; Simulation; Control theory; Robot,,,,,https://koreauniv.pure.elsevier.com/en/publications/compliant-actuation-of-parallel-type-variable-stiffness-actuator- https://link.springer.com/article/10.1007%2Fs12206-010-0813-6 https://rd.springer.com/article/10.1007/s12206-010-0813-6 http://www.j-mst.org/On_line/admin/files/22-J2009-11563_2315-2321-2322%EB%B0%B1_.pdf,http://dx.doi.org/10.1007/s12206-010-0813-6,,10.1007/s12206-010-0813-6,2017718225,,0,001-403-569-169-760; 008-028-237-267-164; 020-321-725-770-989; 028-353-929-487-939; 041-868-751-316-262; 053-772-799-879-258; 054-523-154-954-90X; 064-756-044-304-316; 074-840-953-825-930; 084-513-953-682-452; 105-100-876-813-280; 109-679-941-056-425; 132-261-260-822-222; 172-964-778-350-401,24
076-938-852-763-716,A hybrid hydraulic-electric architecture (HHEA) for high power off-road mobile machines,2019-10-07,2019,conference proceedings article,ASME/BATH 2019 Symposium on Fluid Power and Motion Control,,American Society of Mechanical Engineers,,Perry Y. Li; Jacob Siefert; David Bigelow,"<jats:title>Abstract</jats:title>;                <jats:p>Traditionally, off-road mobile machines such as excavators and wheel loaders are primarily powered by hydraulics and throttling valves are used to control their work circuits. In recent years, two general trends are towards more energy efficient systems and electrification. With electrification, both efficiency and control performance can be improved by the elimination of throttling losses and the use of high-bandwidth inverter control. Electrification is generally accomplished with Electro-hydraulic actuators (EHA) but they are limited to lower powered systems due to the high cost of electric machines capable of high power or high torque. This paper presents preliminary results of a new system architecture for off-road vehicles to improve efficiency and control performance. The architecture combines hydraulic power and electric power in such a way that the majority of power is provided hydraulically while electric drives are used to modulate this power. The hybrid hydraulic-electric architecture (HHEA) and its rationale are described. In addition, a case study is presented to illustrate its operation, its potential for energy saving, and its benefits of component downsizing. The case study indicates that compared to a baseline load sensing system, the HHEA has the potential to reduce energy consumption by more than 50%. Furthermore, the torque capability of the electrical components need only be ∼ 28% of what is required for the direct application of EHA.</jats:p>",,,,,Architecture; Electronic circuit; Torque; Hydraulics; Automotive engineering; Actuator; Energy consumption; Computer science; Electronic component; Systems architecture,,,,,https://asmedigitalcollection.asme.org/FPST/proceedings/FPMC2019/59339/V001T01A011/1071789 https://experts.umn.edu/en/publications/a-hybrid-hydraulic-electric-architecture-hhea-for-high-power-off--2 https://proceedings.asmedigitalcollection.asme.org/FPST/proceedings/FPMC2019/59339/V001T01A011/1071789 https://electronicpackaging.asmedigitalcollection.asme.org/FPST/proceedings/FPMC2019/59339/V001T01A011/1071789,http://dx.doi.org/10.1115/fpmc2019-1628,,10.1115/fpmc2019-1628,2996480075,,0,,5
076-980-643-137-70X,The Euclid AOCS science mode design,2015-03-25,2015,journal article,CEAS Space Journal,18682502; 18682510,Springer Science and Business Media LLC,Germany,A. Bacchetta; M. Saponara; Alberto Torasso; G. Saavedra Criado; B. Girouart,"Euclid is a Medium-Class mission of the ESA Cosmic Vision 2015–2025 plan. Thales Alenia Space Italy has been selected as prime contractor for the Euclid design and implementation. The spacecraft will be launched in 2020 on a Soyuz launch vehicle from Kourou, to a large-amplitude orbit around the sun–earth libration point L2. The objective of Euclid is to understand the origin of the Universe’s accelerating expansion, by mapping large-scale structure over a cosmic time covering the last 10 billion years. The mission requires the ability to survey a large fraction of the extragalactic sky (i.e. portion of sky with latitude higher than 30 deg with respect to galactic plane) over its lifetime, with very high system stability (telescope, focal plane, spacecraft pointing) to minimize systematic effects. The AOCS is a key element to meet the scientific requirements. The AOCS design drivers are pointing performance and image quality (Relative Pointing Error over 700 s less than 25 m as, 68 % confidence level), and minimization of slew time between observation fields to meet the goal of completing the Wide Extragalactic Survey in 6 years. The first driver demands a Fine Guidance Sensor in the telescope focal plane for accurate attitude measurement and actuators with low noise and fine command resolution. The second driver requires high-torque actuators and an extended attitude control bandwidth. In the design, reaction wheels (RWL) and cold-gas micro-propulsion (MPS) are used in a synergetic and complementary way during different operational phases of the science mode. The RWL are used for performing the field slews, whereas during scientific observation they are stopped not to perturb the pointing by additional mechanical noise. The MPS is used for maintaining the reference attitude with high pointing accuracy during the scientific observation. This unconventional concept achieves the pointing performance with the shortest maneuver times, with significant mass savings with respect to the MPS-only solution.",7,2,71,85,Physics; Cardinal point; Aerospace engineering; Attitude control; Galactic plane; Reaction wheel; Cosmic Vision; Telescope; Spacecraft; Sky,,,,,http://ui.adsabs.harvard.edu/abs/2015CEAS....7...71B/abstract https://link.springer.com/article/10.1007/s12567-015-0084-2,http://dx.doi.org/10.1007/s12567-015-0084-2,,10.1007/s12567-015-0084-2,2017335557,,0,009-942-516-936-026; 019-337-257-359-072; 023-107-005-621-75X; 029-457-563-120-974; 039-889-289-549-98X,4
077-471-164-646-751,Self-constructing recurrent fuzzy neural network for ultrasonic motor drive,2010-10-14,2010,conference proceedings,,,,,Lin Hong; Wei-Han Weng; Yu-Che Chan; Chun-Hsiung Fang,"The ultrasonic motor (USM) is a popular actuator and used in industry and academic research in the last decades because it has the advantages of high holding torque, good response characteristics, high torque density, silent operation, free of electromagnetic noise and compact size. However, the motor are time-varying and highly nonlinear system which the parameters varied with increasing temperature and changes in drive frequency, load torque and phase difference of two-phase voltages. The investigations are focused on three parts, first we construct complex dynamic model of traveling-wave ultrasonic motor (TWUSM) by MATLAB/ SIMULINK in this paper, a hybrid model which combines the strength of the equivalent circuit method and the finite element method is derived, On the other hand, a novel controller and driving system are presented. For the part of control, we present a self-constructing recurrent fuzzy neural network for the speed control of a TWUSM to track periodic reference trajectories. Two types of online learning algorithms are the structure learning and the parameter learning. The structure learning has the ability of identifying whether the fuzzy rules are generated or not, while the parameter learning algorithm used the supervised gradient decent method to adjust the connected weights in the consequent part. When the system is in steady state, fuzzy decision-making method is used to delete unimportant fuzzy rules automatically, so that to get the simplest structure of SCRFNN while maintaining the good control performance. Finally, simulation results show that the control effort is effective, as well as confirm the theoretical work.",,,2576,2583,Engineering; Control engineering; Ultrasonic motor; Torque; Gradient descent; Equivalent circuit; Electronic speed control; Artificial neural network; Fuzzy logic; Control theory; Control theory,,,,,http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ieee-000005602470,http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ieee-000005602470,,,1574324707,,0,000-548-777-918-472; 000-999-664-933-935; 005-275-871-916-220; 005-319-044-615-768; 020-146-711-732-150; 042-234-426-770-682; 044-235-235-485-499; 047-941-605-305-756; 100-466-274-406-48X; 120-316-131-461-491,4
078-236-830-732-165,PIEZOELECTRIC CERAMIC ULTRASONIC MOTORS,,2002,journal article,Physics,19432879,,,Chu Xiang,"Piezoelectric ceramic ultrasonic motors are a new type of actuator using ultrasonic wave stimulated by piezoelectric ceramics. Compared to conventional electromagnetic and electrostatic motors, they have features such as high torque at low speed, absence of electromagnetic disturbance, no noise,high holding torque, quick response, and simple construction, etc. They have been applied in the fields of precision instruments, aeronautics and aerospace, control automation, office automation, micromechanical systems, microfabrication, precision positioning, etc. This paper summarizes their features,recent advances in related research and several suggestions on futher development.",,,,,Piezoelectricity; Ultrasonic motor; Torque; Electrostatic motor; Piezoelectric motor; Actuator; Materials science; PMUT; Mechanical engineering; Ultrasonic sensor,,,,,http://en.cnki.com.cn/Article_en/CJFDTOTAL-WLZZ200204011.htm,http://en.cnki.com.cn/Article_en/CJFDTOTAL-WLZZ200204011.htm,,,2358526342,,0,,0
078-423-448-969-579,"ICRA - Design of two lightweight, high-bandwidth torque-controlled ankle exoskeletons",,2015,conference proceedings,2015 IEEE International Conference on Robotics and Automation (ICRA),,IEEE,,Kirby Ann Witte; Juanjuan Zhang; Rachel W. Jackson; Steven H. Collins,"Lower-limb exoskeletons capable of comfortably applying high torques at high bandwidth can be used to probe the human neuromuscular system and assist gait. We designed and built two tethered ankle exoskeletons with strong lightweight frames, comfortable three-point contact with the leg, and series elastic elements for improved torque control. Both devices have low mass (< 0.88 kg), are modular, structurally compliant in selected directions, and instrumented to measure joint angle and torque. The exoskeletons are actuated by an off-board motor, and torque is controlled using a combination of proportional feedback and damping injection with iterative learning during walking tests. We tested closed-loop torque control by commanding 50 N·m and 20 N·m linear chirps in desired torque while the exoskeletons were worn by human users, and measured bandwidths greater than 16 Hz and 21 Hz, respectively. During walking trials, we demonstrated 120 N·m peak torque and 2.0 N·m RMS torque tracking error. These performance measures compare favorably with existing devices and with human ankle musculature, and show that these exoskeletons can be used to rapidly explore a wide range of control techniques and robotic assistance paradigms as elements of versatile, high-performance testbeds. Our results also provide insights into desirable properties of lower-limb exoskeleton hardware, which we expect to inform future designs.",2015,,1223,1228,Modular design; Iterative learning control; Engineering; Torque; Exoskeleton; Tracking error; Rehabilitation robotics; Ankle; Simulation; Control theory; Bandwidth (signal processing),,,,,https://ieeexplore.ieee.org/document/7139347/ https://dblp.uni-trier.de/db/conf/icra/icra2015.html#WitteZJC15 http://repository.cmu.edu/meche/74/ http://biomechatronics.cit.cmu.edu/publications/Witte_2015_ASB.pdf,http://dx.doi.org/10.1109/icra.2015.7139347,,10.1109/icra.2015.7139347,1587755077,,1,000-267-417-154-586; 000-311-074-568-191; 002-266-878-705-174; 006-416-146-134-384; 008-253-676-384-283; 014-461-279-867-955; 015-379-722-523-879; 018-703-629-726-437; 019-420-727-269-627; 023-493-687-452-807; 024-872-152-211-667; 030-008-722-268-346; 041-902-898-332-108; 043-798-162-884-255; 054-323-236-244-489; 060-206-184-634-411; 063-613-333-902-908; 071-214-176-077-722; 076-796-781-126-937; 081-798-475-326-842; 104-725-502-951-682; 105-328-334-613-787; 106-644-751-345-155; 110-498-584-209-384; 184-689-640-431-147,47
078-605-353-131-957,"Comparison, with an analytical optimization process, of two synchronous halbach permanent magnet machines, for a direct drive stick application",,2016,journal article,Progress In Electromagnetics Research B,19376472,EMW Publishing,United States,Jean-François Allias; Jean-François Llibre; Carole Henaux; Yves Briere; Soheib Fergani,"This paper deals with the comparison of two actuators with diﬀerent frameworks, for a direct drive active stick application. Each actuator will be compared with three diﬀerent sets of speciﬁcations which impose many constraints as: high torque, small volume, low temperature, etc. The high required torque per unit of mass and the small volume allowed involve the use of synchronous Halbach permanent magnet (PM) topologies which have the best torque performances. In this article, an analysis and a comparison of two optimized actuators designed with a Halbach conﬁguration are done. It is a linear actuator and a double airgap rotating actuator. The electromagnetic torque is calculated by the Laplace force for which the ﬂux density generated by the Halbach PM conﬁguration is deﬁned by a Laplace equation and a Poisson equation. An analytical optimization under a set of nonlinear constraints will be realized with the analytical expressions of the torque we got previously. In order to validate the analytical model, ﬁnite-element analysis (FEA) simulations will be performed on the optimized structure. Finally, two actuators will be compared in order to give the best compromises for the stick application for each set of speciﬁcations.",69,,47,59,Finite element method; Torque; Linear actuator; Nonlinear system; Magnet; Actuator; Computer science; Control theory; Laplace's equation; Poisson's equation,,,,,https://oatao.univ-toulouse.fr/19250/ http://www.jpier.org/pierb/pier.php?paper=16041104 https://hal.archives-ouvertes.fr/hal-01651817 http://www.jpier.org/pierb/pierb69/04.16041104.pdf https://hal.archives-ouvertes.fr/hal-01651817/document,http://dx.doi.org/10.2528/pierb16041104,,10.2528/pierb16041104,2589532161,,0,021-236-526-743-822; 023-580-840-282-492; 048-928-284-566-436; 135-775-556-084-852; 147-025-546-030-183; 155-267-517-952-914; 161-514-738-436-481,0
078-950-909-247-697,A mechanism design of waist power assist suit for a caregiver by using torsion springs,,2013,conference proceedings,"2013 13th International Conference on Control, Automation and Systems (ICCAS 2013)",,IEEE,,Mitsuhiro Tsuzura; Takashi Nakakuki; Daigo Misaki,"We currently develop a motor-driven power assist suit for a caregiver that helps his/her waist strain in heaving a load Since the total weight is about 15 kg of which dominant elements are the actuators, any lightweight solution is required toward a practical use in a hospital or at home. Especially, a torque requirement to assist waist muscular power in typical personal care tasks is over 100 Nm, and a weight of high-torque motor tends to be large for a wearable robot suit. Then, we consider a mechanism design with torsion springs as an additional torque supplier to reduce torque requirement for motors. As a first step, in this paper, we design a prototype with torsion springs to investigate which location and how many springs are appropriate. The performance is evaluated with surface EMG in which the activities of some muscles including erector spinae muscles that are used in a lifting motion are observed.",,,866,868,Engineering; Torque; Motion control; Mechanism design; Actuator; Waist; Erector spinae muscles; Muscular power; Simulation; Torsion spring,,,,,https://ieeexplore.ieee.org/document/6704035/,http://dx.doi.org/10.1109/iccas.2013.6704035,,10.1109/iccas.2013.6704035,2091091693,,0,045-325-744-021-321; 069-794-682-680-040; 075-719-599-617-478; 086-710-089-093-123; 113-849-566-997-883,9
079-162-768-263-210,Design of a Quasi-Direct-Drive Actuator for Dynamic Motions,2020-11-21,2020,conference proceedings article,"Proceedings of 1st International Electronic Conference on Actuator Technology: Materials, Devices and Applications",,MDPI,,Akash Singh; Navvab Kashiri; Nikolaos G. Tsagarakis,"In recent years, several legged/wheeled robots have been developed, and their effective functionality in locomotion on uneven terrains has been proved. Many robotics researchers have been focusing on improving the locomotion speed as well as the stability and robustness of such robots. High-speed locomotion of robots is, however, subject to various design challenges, especially in the development of actuators. The robotic applications that require high-speed motion in high-torque operations along with the ability to manage dynamic physical interactions are not satisfied by the conventional robotic actuators deploying high-reduction gearings. In this work, we present a quasi-direct-drive actuator designed for continuous high-speed motions in high torque, such as wheeled motions in mobile robots or joint motions in dynamic-legged robots. The presented actuator exploits low-reduction gearing so that it can render over 26 Nm of continuous torque, while the actuator speed can exceed 37 rad/s. Such characteristics enable the exhibition of dynamic motions and can deal with large external impacts. The selection of the motor and design of the gearing unit was carried out iteratively so that commercial items with minimum customization could be employed and the outer diameters of the motor and the gearbox could match. A single-level planetary gearbox was devised for the reduction unit to ensure high back-drivability and transparency of the actuator, thereby making the actuator robust against external impacts and allowing for accurate torque control using motor current measurement. The gear set design was carried out based on the AGMA gear torque calculation. Given the radial space required for the gearbox to deal with the torque requirements, the actuator motor was chosen to be small in height (pancake type), which ensures high torque density within smaller dimensions at high-speed operation. The mechanical design of the actuator is presented in this paper, and the actuator’s specifications in terms of size and performance are compared with those of similar state-of-the-art actuators.",64,1,11,,Torque; Artificial intelligence; Actuator; Mobile robot; High torque; Robotics; Transmission (mechanics); Computer science; Control theory; Robot; Robustness (computer science),,,,,https://www.mdpi.com/2504-3900/64/1/11,http://dx.doi.org/10.3390/iecat2020-08516,,10.3390/iecat2020-08516,3111265104,,0,,0
080-151-736-882-553,Research of a Type of Double Series-wound DC Motor Operating Device,,2012,journal article,High Voltage Apparatus,10011609,,,Xue Hai-lei,"In order to develop the disconnector operating device for large capacity generator circuit breaker with independent intellectual property rights,a pair of series-wound DC motor drive power transmission device has been developed,and the device has high torque output and short-time operation ability.The test results show that: the use of DC series motor soft characteristics,using double series-wound DC motor drive,double worm gear drive,single shaft output driving mode can meet the high capacity generator circuit breaker,disconnector with actuating device technical requirements.In the operating device DC series motor output torque unchanged case,through reducing the series excitation DC motor speed,the rebound phenomenon,which caused by the disconnector tripping speed,can be eliminated.Added a time delay relay in control circuit,the electromagnetic clutch electric slipping phenomenon can be eliminated.",,,,,Electrical engineering; Engineering; Torque; Worm drive; Universal motor; Circuit breaker; Disconnector; DC motor; Electromagnetic clutch; Power transmission,,,,,http://en.cnki.com.cn/Article_en/CJFDTOTAL-GYDQ201204010.htm,http://en.cnki.com.cn/Article_en/CJFDTOTAL-GYDQ201204010.htm,,,2375896088,,0,,0
